Level	Rule Name	Subject	Property	Value
ERROR	duplicate_label	https://www.wikidata.org/wiki/Property:P1659	rdfs:label	see also@en
ERROR	duplicate_label	dc11:relation	rdfs:label	relation@en
ERROR	duplicate_label	dc:relation	rdfs:label	relation@en
ERROR	duplicate_label	CHEBI:36080	rdfs:label	protein
ERROR	duplicate_label	PR:000000001	rdfs:label	protein
ERROR	duplicate_label	IAO:0000119	rdfs:label	definition source
ERROR	duplicate_label	SCDO:0000340	rdfs:label	definition source
ERROR	duplicate_label	IAO:0000232	rdfs:label	curator note
ERROR	duplicate_label	SCDO:0000303	rdfs:label	curator note
ERROR	duplicate_label	dc11:contributor	rdfs:label	contributor
ERROR	duplicate_label	dc:contributor	rdfs:label	contributor
ERROR	multiple_definitions	obo:ADO_0000073	IAO:0000115	A measurement that quantifies the amount of beta-secretase 1 (BACE1) normally found in blood or cerebrospinal fluid. The quantification of the amount of beta-secretase 1 in a sample, typicallly cerebrospinal fluid. Beta-secretase-1 is an aspartic-acid protease important in the formation of myelin sheaths in peripheral nerve cells, and is thought to have a role in Alzheimer's disease pathogenesis.
ERROR	multiple_definitions	obo:ADO_0000073	IAO:0000115	Quantification of the amount of beta-secretase 1 in a sample, typicallly cerebrospinal fluid. Beta-secretase-1 is an aspartic-acid protease important in the formation of myelin sheaths in peripheral nerve cells, and is thought to have a role in Alzheimer's disease pathogenesis.
ERROR	multiple_definitions	BFO:0000020	IAO:0000115	A continuant that inheres in or is borne by other entities. Every instance of A requires some specific instance of B which must always be the same.@en
ERROR	multiple_definitions	BFO:0000020	IAO:0000115	b is a relational specifically dependent continuant = Def. b is a specifically dependent continuant and there are n &gt; 1 independent continuants c1, … cn which are not spatial regions are such that for all 1  i &lt; j  n, ci  and cj share no common parts, are such that for each 1  i  n, b s-depends_on ci at every time t during the course of b’s existence (axiom label in BFO2 Reference: [131-004])@en
ERROR	multiple_definitions	BFO:0000020	IAO:0000115	b is a specifically dependent continuant = Def. b is a continuant & there is some independent continuant c which is not a spatial region and which is such that b s-depends_on c at every time t during the course of b’s existence. (axiom label in BFO2 Reference: [050-003])@en
ERROR	multiple_definitions	GSSO:000252	IAO:0000115	A broad term referring to clinical psychotherapy that uses techniques derived from behaviorism.@en
ERROR	multiple_definitions	GSSO:000252	IAO:0000115	Therapeutic approach that may employ classical conditioning, operant learning techniques, or other behavioral techniques, in an attempt to eliminate or modify problem behavior, addressing itself primarily to the client's overt behavior, as opposed to thoughts, feelings, or other cognitive processes.@en
ERROR	multiple_definitions	IAO:0000030	IAO:0000115	A generically dependent continuant that is about some thing.@en
ERROR	multiple_definitions	IAO:0000030	IAO:0000115	An information content entity is an entity that is generically dependent on some artifact and stands in relation of aboutness to some entity@en
ERROR	multiple_definitions	IAO:0000111	IAO:0000115	The concise, meaningful, and human-friendly name for a class or property preferred by the ontology developers. (US-English)@en
ERROR	multiple_definitions	IAO:0000111	IAO:0000115	?????????????????????????????????? ??????@zh
ERROR	multiple_definitions	IAO:0000112	IAO:0000115	A phrase describing how a class name should be used. May also include other kinds of examples that facilitate immediate understanding of a class semantics, such as widely known prototypical subclasses or instances of the class. Although essential for high level terms, examples for low level terms (e.g., Affymetrix HU133 array) are not@en
ERROR	multiple_definitions	IAO:0000112	IAO:0000115	A phrase describing how a term should be used and/or a citation to a work which uses it. May also include other kinds of examples that facilitate immediate understanding, such as widely know prototypes or instances of a class, or cases where a relation is said to hold.@en
ERROR	multiple_definitions	IAO:0000115	IAO:0000115	A property representing the English language definitions of what NCI means by the concept. They may also include information about the definition's source and attribution in a form that can easily be interpreted by software.
ERROR	multiple_definitions	IAO:0000115	IAO:0000115	English language definitions of what NCI means by the concept. These are limited to 1024 characters. They may also include information about the definition's source and attribution in a form that can easily be interpreted by software.
ERROR	multiple_definitions	IAO:0000115	IAO:0000115	OBI???????????????????????????????????? ?????????????@zh
ERROR	multiple_definitions	IAO:0000115	IAO:0000115	The official OBI definition, explaining the meaning of a class or property. Shall be Aristotelian, formalized and normalized. Can be augmented with colloquial definitions.@en
ERROR	multiple_definitions	IAO:0000115	IAO:0000115	The official definition, explaining the meaning of a class or property. Shall be Aristotelian, formalized and normalized. Can be augmented with colloquial definitions.
ERROR	multiple_definitions	IAO:0000115	IAO:0000115	The official definition, explaining the meaning of a class or property. Shall be Aristotelian, formalized and normalized. Can be augmented with colloquial definitions.@en
ERROR	multiple_definitions	IAO:0000115	IAO:0000115	???????????????????????????????????? ?????????????@zh
ERROR	multiple_definitions	IAO:0000116	IAO:0000115	An administrative note intended for its editor. It may not be included in the publication version of the ontology, so it should contain nothing necessary for end users to understand the ontology.@en
ERROR	multiple_definitions	IAO:0000116	IAO:0000115	??????????????????????????????????????????????????@zh
ERROR	multiple_definitions	IAO:0000117	IAO:0000115	Name of editor entering the definition in the file. The definition editor is a point of contact for information regarding the term. The definition editor may be, but is not always, the author of the definition, which may have been worked upon by several people@en
ERROR	multiple_definitions	IAO:0000117	IAO:0000115	Name of editor entering the term in the file. The term editor is a point of contact for information regarding the term. The term editor may be, but is not always, the author of the definition, which may have been worked upon by several people@en
ERROR	multiple_definitions	IAO:0000117	IAO:0000115	??????????????????????????????????????????????????????????????@zh
ERROR	multiple_definitions	IAO:0000118	IAO:0000115	An alternative name for a class or property which means the same thing as the preferred name (semantically equivalent)@en
ERROR	multiple_definitions	IAO:0000118	IAO:0000115	??????????????????????????????????@zh
ERROR	multiple_definitions	IAO:0000119	IAO:0000115	Formal citation, e.g. identifier in external database to indicate / attribute source(s) for the definition. Free text indicate / attribute source(s) for the definition. EXAMPLE: Author Name, URI, MeSH Term C04, PUBMED ID, Wiki uri on 31.01.2007@en
ERROR	multiple_definitions	IAO:0000119	IAO:0000115	formal citation, e.g. identifier in external database to indicate / attribute source(s) for the definition. Free text indicate / attribute source(s) for the definition. EXAMPLE: Author Name, URI, MeSH Term C04, PUBMED ID, Wiki uri on 31.01.2007@en
ERROR	multiple_definitions	IAO:0000119	IAO:0000115	???????????????????????/???????S????????/???????S??????2007?1?31???????URI?MeSH??C04?PUBMEDID???uri@zh
ERROR	multiple_definitions	IAO:0000412	IAO:0000115	For external terms/classes, the ontology from which the term was imported@en
ERROR	multiple_definitions	IAO:0000412	IAO:0000115	????/?????????@zh
ERROR	multiple_definitions	NCIT:P106	IAO:0000115	A property that represents a description of the sort of thing or category to which a concept belongs in the context of the UMLS semantic network.
ERROR	multiple_definitions	NCIT:P106	IAO:0000115	The semantic type describes the sort of thing or category to which a concept belongs in the context of the UMLS semantic network.
ERROR	multiple_definitions	NCIT:P107	IAO:0000115	A property representing an alternative Preferred Name for use in some NCI systems.
ERROR	multiple_definitions	NCIT:P107	IAO:0000115	Provides an alternative Preferred Name for use in some NCI systems.
ERROR	multiple_definitions	NCIT:P108	IAO:0000115	A property representing the word or phrase that NCI uses by preference to refer to the concept.
ERROR	multiple_definitions	NCIT:P108	IAO:0000115	The word or phrase that NCI uses by preference to refer to the concept.
ERROR	multiple_definitions	NCIT:P207	IAO:0000115	A property representing the concept unique identifier (CUI) assigned by the National Library of Medicine (NLM). If a concept in any NCI-maintained knowledgebase exists in the NLM Unified Medical Language System (UMLS), NCI includes the NLM CUI among the information we provide about the concept.
ERROR	multiple_definitions	NCIT:P207	IAO:0000115	Concept Unique Identifiers, or CUIs, are concept numbers assigned by the National Library of Medicine (NLM). If a concept in any NCI-maintained knowledgebase exists in the NLM Unified Medical Language System (UMLS), NCI includes the NLM CUI among the information we provide about the concept.
ERROR	multiple_definitions	NCIT:P98	IAO:0000115	A property representing notations made by NCI vocabulary curators. They are intended to provide supplemental, unstructured information to the user or additional insight about the concept.
ERROR	multiple_definitions	NCIT:P98	IAO:0000115	Design notes are notations made by NCI vocabulary curators. They are intended to provide supplemental, unstructured information to the user or additional insight about the concept.
ERROR	multiple_definitions	OBI:0000011	IAO:0000115	A process that realizes a plan which is the concretization of a plan specification.@en
ERROR	multiple_definitions	OBI:0000011	IAO:0000115	A processual entity that realizes a plan which is the concretization of a plan specification.@en
ERROR	multiple_definitions	OBI:0000070	IAO:0000115	A planned process with the objective to produce information about some evaluant@en
ERROR	multiple_definitions	OBI:0000070	IAO:0000115	A planned process with the objective to produce information about the material entity that is the evaluant, by physically examining it or its proxies.@en
ERROR	multiple_definitions	OGMS:0000083	IAO:0000115	TODO: Define.@en
ERROR	multiple_definitions	OGMS:0000083	IAO:0000115	The information regarding anatomic findings obtained through the use of observation, palpation, percussion, and auscultation.
ERROR	multiple_definitions	RO:0002161	IAO:0000115	S never_in_taxon T iff: S SubClassOf in_taxon only not T.
ERROR	multiple_definitions	RO:0002161	IAO:0000115	"x never in taxon T if and only if T is a class, and x does not instantiate the class expression \""in taxon some T\"". Note that this is a shortcut relation, and should be used as a hasValue restriction in OWL."
ERROR	multiple_definitions	RO:0002175	IAO:0000115	S present_in_taxon T if some instance of T has some S. This does not means that all instances of T have an S - it may only be certain life stages or sexes that have S
ERROR	multiple_definitions	RO:0002175	IAO:0000115	S present_in_taxon T if some instance of T has some S. This does not means that all instances of T have an S - it may only be certain life stages or sexes that have S.
ERROR	multiple_definitions	UBERON:0000125	IAO:0000115	A spatially aggregated collection of nerve cell bodies in the CNS, consisting of one or more subpopulations that share cell type, chemical phenotype, and connections, and including nearby cells that share the same cell type, chemical phenotype, and connections. (CUMBO)
ERROR	multiple_definitions	UBERON:0000125	IAO:0000115	A spatially aggregated collection of nerve cell bodies in the CNS, consisting of one or more subpopulations that share cell type, chemical phenotype, and connections, and including nearby cells that share the same cell type, chemical phenotype, and connections. (CUMBO).
ERROR	multiple_definitions	oboInOwl:hasDbXref	IAO:0000115	A database cross-reference. An annotation which directs one to information contained within a database.
ERROR	multiple_definitions	oboInOwl:hasDbXref	IAO:0000115	A property representing a reference to an identical or very similar object in another database.
ERROR	multiple_definitions	oboInOwl:hasDbXref	IAO:0000115	Reference database or publication source.
ERROR	multiple_definitions	oboInOwl:hasExactSynonym	IAO:0000115	A property representing a fully qualified synonym, contains the string, term type, source, and an optional source code if appropriate. Each subfield is deliniated to facilitate interpretation by software.
ERROR	multiple_definitions	oboInOwl:hasExactSynonym	IAO:0000115	An alias in which the alias exhibits true synonymy. Example: ornithine cycle is an exact synonym of urea cycle.
ERROR	multiple_definitions	oboInOwl:hasExactSynonym	IAO:0000115	Exact synonym.
ERROR	multiple_definitions	oboInOwl:hasExactSynonym	IAO:0000115	Fully qualified synonym, contains the string, term type, source, and an optional source code if appropriate. Each subfield is deliniated to facilitate interpretation by software.
ERROR	multiple_definitions	oboInOwl:inSubset	IAO:0000115	An association that connects the concept defining a particular terminology subset with concepts that belong to this subset.
ERROR	multiple_definitions	oboInOwl:inSubset	IAO:0000115	In subset.
ERROR	multiple_definitions	oboInOwl:inSubset	IAO:0000115	Used to associate the concept defining a particular terminology subset with concepts that belong to this subset.
ERROR	duplicate_definition	ExO:0000145	IAO:0000115	A person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race.
ERROR	duplicate_definition	ExO:0000149	IAO:0000115	A person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race.
ERROR	multiple_labels	BFO:0000001	rdfs:label	entity
ERROR	multiple_labels	BFO:0000001	rdfs:label	entity@en
ERROR	multiple_labels	BFO:0000003	rdfs:label	occurrent
ERROR	multiple_labels	BFO:0000003	rdfs:label	occurrent@en
ERROR	multiple_labels	BFO:0000040	rdfs:label	material entity
ERROR	multiple_labels	BFO:0000040	rdfs:label	material entity@en
ERROR	multiple_labels	CLO:0000178	rdfs:label	Cell line LINCS ID@en
ERROR	multiple_labels	CLO:0000178	rdfs:label	LINCS ID@en
ERROR	multiple_labels	CLO:0000178	rdfs:label	???LINCS ID
ERROR	multiple_labels	CLO:0000178	rdfs:label	???LINCS ID@zh
ERROR	multiple_labels	CLO:0009015	rdfs:label	SH-SY5Y cell
ERROR	multiple_labels	CLO:0009015	rdfs:label	SH-SY5Y cell@en
ERROR	multiple_labels	CLO:0009015	rdfs:label	SH-SY5Y ??@zh
ERROR	multiple_labels	CL:0000540	rdfs:label	neuron
ERROR	multiple_labels	CL:0000540	rdfs:label	neuron@en
ERROR	multiple_labels	IAO:0000111	rdfs:label	editor preferred label
ERROR	multiple_labels	IAO:0000111	rdfs:label	editor preferred label@en
ERROR	multiple_labels	IAO:0000111	rdfs:label	editor preferred term
ERROR	multiple_labels	IAO:0000111	rdfs:label	editor preferred term@en
ERROR	multiple_labels	IAO:0000111	rdfs:label	editor preferred term~editor preferred label
ERROR	multiple_labels	IAO:0000111	rdfs:label	editor preferred term~editor preferred label@en
ERROR	multiple_labels	IAO:0000111	rdfs:label	??????
ERROR	multiple_labels	IAO:0000111	rdfs:label	??????@zh
ERROR	multiple_labels	IAO:0000111	rdfs:label	??????~??????
ERROR	multiple_labels	IAO:0000111	rdfs:label	??????
ERROR	multiple_labels	IAO:0000111	rdfs:label	??????@zh
ERROR	multiple_labels	IAO:0000112	rdfs:label	example of usage
ERROR	multiple_labels	IAO:0000112	rdfs:label	example of usage@en
ERROR	multiple_labels	IAO:0000114	rdfs:label	has curation status
ERROR	multiple_labels	IAO:0000114	rdfs:label	has curation status@en
ERROR	multiple_labels	IAO:0000114	rdfs:label	?????
ERROR	multiple_labels	IAO:0000114	rdfs:label	?????@zh
ERROR	multiple_labels	IAO:0000115	rdfs:label	definition
ERROR	multiple_labels	IAO:0000115	rdfs:label	definition@en
ERROR	multiple_labels	IAO:0000115	rdfs:label	textual definition
ERROR	multiple_labels	IAO:0000115	rdfs:label	textual definition@en
ERROR	multiple_labels	IAO:0000115	rdfs:label	??
ERROR	multiple_labels	IAO:0000115	rdfs:label	??@zh
ERROR	multiple_labels	IAO:0000115	rdfs:label	????
ERROR	multiple_labels	IAO:0000115	rdfs:label	????@zh
ERROR	multiple_labels	IAO:0000116	rdfs:label	editor note
ERROR	multiple_labels	IAO:0000116	rdfs:label	editor note@en
ERROR	multiple_labels	IAO:0000116	rdfs:label	???
ERROR	multiple_labels	IAO:0000116	rdfs:label	???@zh
ERROR	multiple_labels	IAO:0000117	rdfs:label	definition editor
ERROR	multiple_labels	IAO:0000117	rdfs:label	definition editor@en
ERROR	multiple_labels	IAO:0000117	rdfs:label	definition_editor
ERROR	multiple_labels	IAO:0000117	rdfs:label	term editor
ERROR	multiple_labels	IAO:0000117	rdfs:label	term editor@en
ERROR	multiple_labels	IAO:0000117	rdfs:label	?????
ERROR	multiple_labels	IAO:0000117	rdfs:label	?????@zh
ERROR	multiple_labels	IAO:0000118	rdfs:label	alternative term
ERROR	multiple_labels	IAO:0000118	rdfs:label	alternative term@en
ERROR	multiple_labels	IAO:0000118	rdfs:label	????
ERROR	multiple_labels	IAO:0000118	rdfs:label	????@zh
ERROR	multiple_labels	IAO:0000119	rdfs:label	definition source
ERROR	multiple_labels	IAO:0000119	rdfs:label	definition source@en
ERROR	multiple_labels	IAO:0000119	rdfs:label	definition_source
ERROR	multiple_labels	IAO:0000119	rdfs:label	????
ERROR	multiple_labels	IAO:0000119	rdfs:label	????@zh
ERROR	multiple_labels	IAO:0000232	rdfs:label	curator note
ERROR	multiple_labels	IAO:0000232	rdfs:label	curator note@en
ERROR	multiple_labels	IAO:0000232	rdfs:label	curator notes
ERROR	multiple_labels	IAO:0000412	rdfs:label	imported from
ERROR	multiple_labels	IAO:0000412	rdfs:label	imported from@en
ERROR	multiple_labels	IAO:0000412	rdfs:label	??
ERROR	multiple_labels	IAO:0000412	rdfs:label	??@zh
ERROR	multiple_labels	NCIT:P366	rdfs:label	Legacy Concept Name
ERROR	multiple_labels	NCIT:P366	rdfs:label	Legacy_Concept_Name
ERROR	multiple_labels	RO:0002161	rdfs:label	never in taxon
ERROR	multiple_labels	RO:0002161	rdfs:label	never_in_taxon
ERROR	multiple_labels	RO:0002175	rdfs:label	present in taxon
ERROR	multiple_labels	RO:0002175	rdfs:label	present_in_taxon
ERROR	multiple_labels	dc11:creator	rdfs:label	Creator@en-us
ERROR	multiple_labels	dc11:creator	rdfs:label	dc:creator
ERROR	multiple_labels	dc11:date	rdfs:label	Date
ERROR	multiple_labels	dc11:date	rdfs:label	Date@en-us
